Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),fraction unbound in plasma (fu),MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,moka_ionState7.4,moka_ionState7.4_anionic,moka_ionState7.4_cationic,moka_ionState7.4_neutral,moka_ionState7.4_zwitterionic,human VDss (L/kg) / fraction unbound in plasma (fu),human CL (mL/min/kg) / fraction unbound in plasma (fu)
Anidulafungin,166663-25-8,0.57,0.21,0.16,45.0,40.0,1140.24,24,14,377.4,14,1.6,1.6,neutral,0.0,0.0,1.0,0.0,3.5624999999999996,1.3125
Antipyrine,60-80-0,0.77,0.64,0.93,20.0,12.0,188.23,3,0,23.5,1,0.19,0.19,neutral,0.0,0.0,1.0,0.0,0.8279569892473118,0.6881720430107526
Antofloxacin,119354-43-7,2.42,2.2,0.82,18.3,20.1,376.38,8,2,99.3,2,1.5,-0.73,zwitterionic,0.0,0.0,0.0,1.0,2.951219512195122,2.682926829268293
Apalcillin,63469-19-2,0.16,1.9,0.1,1.4,1.2,521.55,11,4,161.8,8,1.8,-1.6,anionic,1.0,0.0,0.0,0.0,1.5999999999999999,18.999999999999996
Apomorphine,58-00-4,1.6,40.0,0.05,0.67,0.68,267.32,3,2,43.7,0,3.0,2.1,cationic,0.0,1.0,0.0,0.0,32.0,800.0
Aprepitant,170729-80-3,0.94,1.0,0.05,16.0,13.0,534.43,7,2,75.2,6,4.1,4.1,neutral,0.0,0.0,1.0,0.0,18.799999999999997,20.0
Argatroban,74863-84-6,0.17,5.0,0.46,0.57,0.4,508.63,11,6,177.7,10,1.5,-0.84,zwitterionic,0.0,0.0,0.0,1.0,0.3695652173913044,10.869565217391305
Aripiprazole,129722-12-9,4.9,0.83,0.01,98.0,75.0,448.39,5,1,44.8,7,5.2,4.7,cationic,0.0,1.0,0.0,0.0,490.0,83.0
Artesunate,88495-63-0,15.0,1070.0,0.25,0.32,0.22,384.42,8,1,100.5,5,3.0,2.9,neutral,0.0,0.0,1.0,0.0,60.0,4280.0
Articaine,23964-58-1,7.7,126.7,0.46,1.04,0.98,284.37,5,2,67.4,7,1.9,1.2,cationic,0.0,1.0,0.0,0.0,16.73913043478261,275.4347826086956
Ascorbic acid,50-81-7,0.35,1.05,0.26,5.5,11.4,176.12,6,4,107.2,2,-3.0,-5.5,anionic,1.0,0.0,0.0,0.0,1.346153846153846,4.038461538461538
Astragaloside IV,84687-43-4,0.12,0.74,0.14,2.78,2.65,784.97,14,9,228.2,6,-0.048,-0.048,neutral,0.0,0.0,1.0,0.0,0.857142857142857,5.285714285714286
Asunaprevir,630420-16-5,2.77,11.78,0.012,3.92,20.0,748.29,14,3,182.3,12,5.5,2.4,anionic,1.0,0.0,0.0,0.0,230.83333333333334,981.6666666666666
Atenolol,29122-68-7,0.95,2.5,0.94,6.3,6.1,266.34,5,3,84.6,8,0.35,-1.4,cationic,0.0,1.0,0.0,0.0,1.0106382978723405,2.6595744680851063
Atomoxetine,83015-26-3,0.85,9.3,0.02,1.5,5.2,255.35,2,1,21.3,6,3.6,1.5,cationic,0.0,1.0,0.0,0.0,42.5,465.0
Atovaquone,95233-18-4,0.6,0.15,0.001,67.0,63.0,366.84,3,1,54.4,2,5.5,3.4,anionic,1.0,0.0,0.0,0.0,600.0,150.0
Atracurium,64228-79-1,0.1,5.7,0.52,0.29,0.31,929.15,14,0,126.4,26,1.7,1.7,neutral,0.0,0.0,1.0,0.0,0.19230769230769232,10.961538461538462
Atropine,51-55-8,3.3,7.6,0.61,7.2,4.1,289.37,4,1,49.8,5,2.2,0.6,cationic,0.0,1.0,0.0,0.0,5.409836065573771,12.459016393442623
Avarofloxacin,878592-87-1,1.13,0.78,0.34,24.21,19.64,419.42,7,2,97.8,5,2.8,0.44,zwitterionic,0.0,0.0,0.0,1.0,3.323529411764705,2.2941176470588234
Avibactam,1192500-31-4,0.24,2.76,0.93,1.4,1.7,265.24,9,2,130.2,3,-2.1,-5.6,neutral,0.0,0.0,1.0,0.0,0.25806451612903225,2.9677419354838706
Azapropazone,13539-59-8,0.12,0.14,0.004,14.0,17.0,300.36,6,0,56.2,3,1.3,0.098,anionic,1.0,0.0,0.0,0.0,30.0,35.0
Azelastine,58581-89-8,15.0,9.0,0.17,27.0,22.0,381.9,4,0,35.9,3,3.8,2.4,cationic,0.0,1.0,0.0,0.0,88.23529411764706,52.94117647058823
Azimilide,149908-53-2,13.0,2.4,0.06,100.0,79.0,457.95,8,0,72.9,8,3.5,2.2,cationic,0.0,1.0,0.0,0.0,216.66666666666669,40.0
Azithromycin,83905-01-5,33.0,10.0,0.88,57.0,69.0,748.98,14,5,180.1,7,2.2,-0.18,cationic,0.0,1.0,0.0,0.0,37.5,11.363636363636363
Azlocillin,37091-66-0,0.26,2.5,0.65,1.7,1.2,461.49,11,4,148.1,5,0.84,-2.5,anionic,1.0,0.0,0.0,0.0,0.4,3.846153846153846
Aztreonam,78110-38-0,0.18,1.5,0.4,2.1,1.5,435.43,13,4,201.6,7,-0.95,-6.2,anionic,1.0,0.0,0.0,0.0,0.44999999999999996,3.75
Baclofen,1134-47-0,0.65,1.7,0.69,6.36,5.24,193.24,3,2,63.3,4,1.1,-1.2,zwitterionic,0.0,0.0,0.0,1.0,0.9420289855072465,2.4637681159420293
Basimglurant,802906-73-6,9.7,2.8,0.01,57.4,78.9,325.77,3,0,30.7,3,4.0,4.0,neutral,0.0,0.0,1.0,0.0,969.9999999999999,280.0
Batanopride,102670-46-2,1.5,9.32,0.46,2.68,2.7,355.86,6,2,84.7,9,1.7,0.15,cationic,0.0,1.0,0.0,0.0,3.260869565217391,20.26086956521739
Bazedoxifene,198481-32-2,15.4,6.7,0.02,37.5,30.0,470.6,5,2,57.9,7,6.6,5.5,cationic,0.0,1.0,0.0,0.0,770.0,335.0
BB 83698,325795-25-3,1.1,3.1,0.2,5.9,9.4,530.66,10,2,111.6,9,2.1,2.1,neutral,0.0,0.0,1.0,0.0,5.5,15.5
Beclabuvir,958002-33-0,0.5,1.33,0.01,6.38,5.38,659.84,10,1,104.2,6,3.1,0.74,zwitterionic,0.0,0.0,0.0,1.0,50.0,133.0
Beclomethasone dipropionate,5534-09-8,0.29,36.0,0.13,0.1,0.5,521.04,7,1,107.0,8,4.0,4.0,neutral,0.0,0.0,1.0,0.0,2.2307692307692304,276.9230769230769
Belinostat,414864-00-9,0.8,23.6,0.06,0.6,1.6,318.35,6,3,95.5,5,1.5,1.4,neutral,0.0,0.0,1.0,0.0,13.333333333333334,393.33333333333337
Bendamustine,16506-27-7,0.22,4.49,0.05,0.81,0.41,358.26,5,1,58.4,9,3.0,0.65,zwitterionic,0.0,0.0,0.0,1.0,4.3999999999999995,89.8
Benzydamine,642-72-8,1.53,2.28,0.8,11.4,8.1,309.41,4,0,30.3,7,4.2,0.76,cationic,0.0,1.0,0.0,0.0,1.9124999999999999,2.8499999999999996
Bepridil,64706-54-3,10.1,8.7,0.001,19.3,14.9,366.54,3,0,15.7,10,5.4,4.9,cationic,0.0,1.0,0.0,0.0,10100.0,8700.0
Betamethasone,378-44-9,1.3,2.8,0.36,7.9,5.6,392.46,5,3,94.8,2,1.7,1.7,neutral,0.0,0.0,1.0,0.0,3.611111111111111,7.777777777777778
Betamipron,3440-28-6,0.28,9.2,0.17,0.51,0.59,193.2,4,2,66.4,4,0.56,-2.5,anionic,1.0,0.0,0.0,0.0,1.647058823529412,54.11764705882352
Betaxolol,63659-18-7,4.8,3.4,0.4,24.0,17.0,307.43,4,2,50.7,11,2.6,0.81,cationic,0.0,1.0,0.0,0.0,11.999999999999998,8.5
Bevantolol,59170-23-9,0.67,5.5,0.015,2.0,1.9,345.43,5,2,59.9,10,2.9,1.9,cationic,0.0,1.0,0.0,0.0,44.66666666666667,366.6666666666667
Biapenem,120410-24-4,0.2,2.5,0.92,1.3,1.1,350.39,8,1,102.4,4,-3.1,-5.4,anionic,1.0,0.0,0.0,0.0,0.21739130434782608,2.717391304347826
Bilastine,202189-78-4,0.61,2.87,0.13,3.56,5.16,463.61,6,1,67.6,10,4.2,1.3,zwitterionic,0.0,0.0,0.0,1.0,4.692307692307692,22.076923076923077
Biperiden,514-65-8,12.0,12.0,0.097,17.0,24.0,311.46,2,1,23.5,5,4.4,2.5,cationic,0.0,1.0,0.0,0.0,123.71134020618557,123.71134020618557
Bisoprolol,66722-44-9,2.4,3.7,0.66,11.0,10.0,325.44,5,2,59.9,12,2.2,0.46,cationic,0.0,1.0,0.0,0.0,3.6363636363636362,5.606060606060606
Bivalirudin,128270-60-0,0.27,8.1,1.0,0.43,0.42,2180.29,57,28,901.6,67,-6.6,-9.0,anionic,1.0,0.0,0.0,0.0,0.27,8.1
BLP1654,28889-87-4,0.24,1.6,0.8,2.5,2.09,434.47,11,6,177.7,6,0.061,-2.3,zwitterionic,0.0,0.0,0.0,1.0,0.3,2.0
BMS-214662,195987-41-8,0.84,9.6,0.01,1.4,1.6,489.61,7,1,93.1,7,3.6,3.5,neutral,0.0,0.0,1.0,0.0,84.0,960.0
Bortezomib,179324-69-7,10.0,19.0,0.17,8.8,18.0,384.24,8,4,124.4,9,0.8,0.8,neutral,0.0,0.0,1.0,0.0,58.8235294117647,111.76470588235293
Bosentan,147536-97-8,0.29,2.1,0.037,2.3,4.1,551.61,11,2,145.6,10,3.9,0.76,anionic,1.0,0.0,0.0,0.0,7.837837837837838,56.756756756756765
Brexpiprazole,913611-97-9,1.46,0.34,0.002,70.95,54.37,433.57,5,1,48.6,7,5.0,2.6,cationic,0.0,1.0,0.0,0.0,730.0,170.0
Brivaracetam,357336-20-0,0.56,0.75,0.825,12.47,8.98,212.29,4,1,63.4,5,0.82,0.82,neutral,0.0,0.0,1.0,0.0,0.6787878787878789,0.9090909090909092
Bromazepam,1812-30-2,0.85,0.51,0.48,28.0,21.0,316.15,4,1,54.3,1,2.0,2.0,neutral,0.0,0.0,1.0,0.0,1.7708333333333333,1.0625
Bromfenac,91714-94-2,0.11,1.3,0.0011,1.5,2.6,334.16,4,2,80.4,4,3.3,0.33,anionic,1.0,0.0,0.0,0.0,100.0,1181.8181818181818
Bromopride,4093-35-0,3.1,13.0,0.6,4.0,2.9,344.25,5,2,67.6,7,2.0,0.44,cationic,0.0,1.0,0.0,0.0,5.166666666666667,21.666666666666668
Bromotetrandrine,62067-29-2,51.0,9.6,0.22,88.2,59.4,701.65,8,0,61.9,4,8.3,7.2,cationic,0.0,1.0,0.0,0.0,231.8181818181818,43.63636363636363
Brotizolam,57801-81-7,0.75,2.0,0.092,6.0,4.8,393.69,4,0,43.1,1,2.8,2.7,neutral,0.0,0.0,1.0,0.0,8.152173913043478,21.73913043478261
Budesonide,51333-22-3,3.9,20.0,0.13,3.2,2.8,430.53,6,2,93.1,4,3.0,3.0,neutral,0.0,0.0,1.0,0.0,30.0,153.84615384615384
Buflomedil,55837-25-7,1.3,5.6,0.4,3.9,3.3,307.38,5,0,48.0,8,2.5,0.52,cationic,0.0,1.0,0.0,0.0,3.25,13.999999999999998
Bufuralol,54340-62-4,1.7,8.9,0.19,3.2,2.3,261.36,3,2,45.7,4,3.3,1.7,cationic,0.0,1.0,0.0,0.0,8.947368421052632,46.8421052631579
Bumetanide,28395-03-1,0.16,2.5,0.031,1.1,1.2,364.42,7,3,118.7,8,3.4,0.56,anionic,1.0,0.0,0.0,0.0,5.161290322580645,80.64516129032258
Bunazosin,80755-51-7,0.72,4.8,0.06,2.5,2.0,373.45,8,1,93.8,5,2.7,2.6,neutral,0.0,0.0,1.0,0.0,12.0,80.0
Bupivacaine,38396-39-3,0.84,4.3,0.056,3.3,3.1,288.43,3,1,32.3,5,4.0,3.4,cationic,0.0,1.0,0.0,0.0,15.0,76.78571428571428
Buprenorphine,52485-79-7,4.9,19.0,0.04,4.9,3.2,467.64,5,2,62.2,4,4.4,3.1,cationic,0.0,1.0,0.0,0.0,122.5,475.0
Busulphan,55-98-1,0.55,2.4,1.0,3.8,3.4,246.3,6,0,86.7,7,-0.72,-0.72,neutral,0.0,0.0,1.0,0.0,0.55,2.4
Butorphanol,42408-82-2,12.0,41.0,0.17,5.3,4.8,327.46,3,2,43.7,2,3.2,2.1,cationic,0.0,1.0,0.0,0.0,70.58823529411764,241.17647058823528
Butylbiguanide,692-13-7,1.84,6.58,0.9,4.66,4.62,157.22,5,5,97.8,6,-0.61,-4.1,cationic,0.0,1.0,0.0,0.0,2.0444444444444443,7.311111111111111
Cabazitaxel,183133-96-2,48.0,11.0,0.24,72.7,74.5,835.93,15,3,202.4,14,4.0,4.0,neutral,0.0,0.0,1.0,0.0,200.0,45.833333333333336
Caffeine,58-08-2,0.63,1.4,0.64,7.5,4.9,194.19,6,0,58.4,0,0.078,0.078,neutral,0.0,0.0,1.0,0.0,0.984375,2.1875
Canagliflozin,842133-18-0,1.19,2.74,0.01,7.25,10.3,444.52,5,4,90.1,5,3.3,3.3,neutral,0.0,0.0,1.0,0.0,118.99999999999999,274.0
Candesartan,139481-59-7,0.13,0.37,0.002,5.9,9.7,440.45,9,2,118.8,7,4.9,-0.31,anionic,1.0,0.0,0.0,0.0,65.0,185.0
Candoxatrilat,123122-54-3,0.25,2.3,0.872,1.81,16.0,399.48,8,3,122.2,13,1.6,-3.6,anionic,1.0,0.0,0.0,0.0,0.286697247706422,2.6376146788990824
Cangrelor,163706-06-7,0.035,9.06,0.02,0.07,0.14,776.36,17,7,255.9,15,-1.4,-8.6,anionic,1.0,0.0,0.0,0.0,1.7500000000000002,453.0
Captopril,62571-86-2,0.75,12.0,0.73,1.0,2.0,217.29,4,1,57.6,3,0.97,-2.2,anionic,1.0,0.0,0.0,0.0,1.0273972602739727,16.438356164383563
Carbazeran,70724-25-3,0.67,37.6,0.08,0.25,0.25,360.41,8,1,85.8,6,2.3,2.3,neutral,0.0,0.0,1.0,0.0,8.375,470.0
Carbenicillin,4697-36-3,0.17,1.9,0.52,1.5,1.1,378.4,8,3,124.0,5,1.2,-5.4,anionic,1.0,0.0,0.0,0.0,0.3269230769230769,3.6538461538461537
Carebastine,90729-42-3,0.41,0.4,0.05,16.7,9.8,499.64,5,1,66.8,11,5.9,3.0,zwitterionic,0.0,0.0,0.0,1.0,8.2,8.0
Carfilzomib,868540-17-4,0.13,39.5,0.02,0.05,1.1,719.91,12,4,158.5,20,5.0,4.9,neutral,0.0,0.0,1.0,0.0,6.5,1975.0
Carmustine (BCNU),154-93-8,1.2,78.0,0.23,0.26,0.37,214.05,5,1,61.8,5,1.4,1.4,neutral,0.0,0.0,1.0,0.0,5.217391304347825,339.1304347826087
Carnitine_L,406-76-8,0.4,1.6,1.0,4.2,5.0,161.2,4,1,60.4,4,-4.6,-4.0,anionic,1.0,0.0,0.0,0.0,0.4,1.6
Carprofen,53716-49-7,0.22,0.51,0.001,7.2,9.9,273.71,3,2,53.1,2,4.0,0.95,anionic,1.0,0.0,0.0,0.0,220.0,510.0
Carumonam,87638-04-8,0.18,1.5,0.72,2.0,1.6,466.4,16,5,253.9,10,-2.8,-8.0,anionic,1.0,0.0,0.0,0.0,0.25,2.0833333333333335
Carvedilol,72956-09-3,1.3,7.8,0.02,2.8,2.4,406.47,6,3,75.7,10,3.6,2.9,cationic,0.0,1.0,0.0,0.0,65.0,390.0
Casopitant,414910-27-3,2.77,3.07,1.0,15.04,15.6,616.61,6,0,47.1,4,5.4,5.4,neutral,0.0,0.0,1.0,0.0,2.77,3.07
Caspofungin,162808-62-0,0.13,0.14,0.035,15.0,27.0,1093.31,25,16,412.0,23,-1.4,-6.3,cationic,0.0,1.0,0.0,0.0,3.714285714285714,4.0
Cefadroxil,50370-12-2,0.23,2.5,0.39,1.5,1.1,363.39,8,4,133.0,4,-0.7,-2.1,zwitterionic,0.0,0.0,0.0,1.0,0.5897435897435898,6.41025641025641
Cefamandole,34444-01-4,0.16,3.6,0.25,0.75,0.75,462.5,11,3,150.5,7,-0.37,-3.4,anionic,1.0,0.0,0.0,0.0,0.64,14.4
Cefatrizine,51627-14-6,0.22,3.3,0.4,1.1,1.2,462.5,11,5,174.5,7,-0.69,-4.7,anionic,1.0,0.0,0.0,0.0,0.5499999999999999,8.249999999999998
Cefazolin,25953-19-9,0.12,0.89,0.18,2.2,1.7,454.51,12,2,156.1,7,-1.2,-4.2,anionic,1.0,0.0,0.0,0.0,0.6666666666666666,4.944444444444445
Cefepime,88040-23-7,0.28,2.2,0.78,2.1,1.9,480.56,11,2,150.0,7,-3.6,-2.7,anionic,1.0,0.0,0.0,0.0,0.358974358974359,2.8205128205128207
Cefetamet,65052-63-3,0.28,1.9,0.78,2.5,2.1,397.43,10,3,147.2,5,0.36,-2.6,anionic,1.0,0.0,0.0,0.0,0.358974358974359,2.4358974358974357
Cefixime,79350-37-1,0.24,1.0,0.31,3.9,3.2,453.45,12,4,184.5,8,-0.38,-6.7,anionic,1.0,0.0,0.0,0.0,0.7741935483870968,3.2258064516129035
Cefmenoxime,65085-01-0,0.2,3.65,0.31,0.77,0.89,511.56,14,3,190.8,8,-0.15,-3.2,anionic,1.0,0.0,0.0,0.0,0.6451612903225807,11.774193548387096
Cefmetazole,56796-20-4,0.13,1.5,0.15,1.5,1.5,471.53,12,2,163.3,10,-1.4,-4.3,anionic,1.0,0.0,0.0,0.0,0.8666666666666667,10.0
Cefodizime,69739-16-8,0.054,0.61,0.18,1.5,4.2,584.67,13,4,197.4,10,1.3,-4.9,anionic,1.0,0.0,0.0,0.0,0.3,3.388888888888889
Cefonicid,61270-58-4,0.14,0.38,0.02,5.8,5.1,542.57,14,4,204.9,9,-1.5,-6.7,anionic,1.0,0.0,0.0,0.0,7.000000000000001,19.0
Cefoperazone,62893-19-0,0.17,1.3,0.07,2.2,1.8,645.67,17,4,220.3,9,-1.2,-4.3,anionic,1.0,0.0,0.0,0.0,2.4285714285714284,18.57142857142857
Ceforanide,60925-61-3,0.17,0.66,0.19,4.3,3.0,519.55,13,4,193.6,10,-1.3,-4.7,anionic,1.0,0.0,0.0,0.0,0.8947368421052632,3.473684210526316
Cefotaxime,63527-52-6,0.19,2.7,0.6,1.2,1.2,455.47,12,3,173.5,8,-0.053,-3.1,anionic,1.0,0.0,0.0,0.0,0.3166666666666667,4.500000000000001
Cefotetan,69712-56-7,0.13,0.42,0.15,5.2,4.5,575.62,15,4,219.9,9,-1.8,-7.1,anionic,1.0,0.0,0.0,0.0,0.8666666666666667,2.8
